Date,Newspaper,Headline,URL
01/08/26,The Daily Star,Rooppur Unit-1 power generation delayed pending regulatory approval,https://www.thedailystar.net/news/environment/natural-resources/energy/news/rooppur-unit-1-power-generation-delayed-pending-regulatory-approval-4237521
01/08/26,The Business Standard,"How prepared are we as global conflicts threaten energy, fertiliser supplies?",https://www.tbsnews.net/bangladesh/energy/how-prepared-are-we-global-conflicts-threaten-energy-fertiliser-supplies-1503456
31/07/26,The Daily Star,Profits surge at US oil giant amid Iran war supply shock,https://www.thedailystar.net/news/environment/natural-resources/energy/news/profits-surge-us-oil-giant-amid-iran-war-supply-shock-4237061
31/07/26,The Business Standard,Govt plans 3rd-phase solar project for full electrification in hill tracts,https://www.tbsnews.net/bangladesh/energy/govt-plans-3rd-phase-solar-project-full-electrification-hill-tracts-1502876
30/07/26,The Daily Star,Bridge authority approves 120 acres land for 55MW solar plant at Jamuna Bridge site,https://www.thedailystar.net/news/environment/natural-resources/energy/news/bridge-authority-approves-120-acres-land-55mw-solar-plant-jamuna-bridge-site-4236521
30/07/26,The Business Standard,LNG supply falls by another 100 mmcfd as gas crisis deepens,https://www.tbsnews.net/bangladesh/energy/lng-supply-falls-another-100-mmcfd-gas-crisis-deepens-1502536
30/07/26,The Business Standard,Furnace oil price cut by Tk8.71 per litre to Tk100.39,https://www.tbsnews.net/bangladesh/energy/furnace-oil-price-cut-tk871-litre-tk10039-1502351
30/07/26,The Business Standard,Fuel prices remain unchanged for August,https://www.tbsnews.net/bangladesh/energy/fuel-prices-remain-unchanged-august-1502286
30/07/26,The Business Standard,Govt approves purchase of LNG cargo at $22.35 per MMBtu amid gas crisis,https://www.tbsnews.net/bangladesh/energy/govt-approves-purchase-lng-cargo-2235-mmbtu-amid-gas-crisis-1502176
30/07/26,The Business Standard,"Gas crunch cripples industries, threatens export orders",https://www.tbsnews.net/bangladesh/energy/gas-crunch-cripples-industries-threatens-export-orders-1501656
29/07/26,The Business Standard,"Govt approves Tk16,089cr refined fuel imports for Jul-Dec",https://www.tbsnews.net/bangladesh/energy/govt-approves-tk16089cr-refined-fuel-imports-jul-dec-1501586
29/07/26,The Business Standard,"Gas crisis leaves auto-rickshaw drivers languishing in queues, facing income drop",https://www.tbsnews.net/bangladesh/energy/gas-crisis-leaves-auto-rickshaw-drivers-languishing-queues-facing-income-drop
29/07/26,The Business Standard,"BGMEA, BKMEA seek CNG to run factories amid gas crisis",https://www.tbsnews.net/bangladesh/energy/bgmea-bkmea-seek-cng-run-factories-amid-gas-crisis-1500766
29/07/26,The Business Standard,Govt fast-tracks spare parts import for floating LNG terminal to restore gas supply,https://www.tbsnews.net/bangladesh/energy/govt-fast-tracks-spare-parts-import-floating-lng-terminal-restore-gas-supply
28/07/26,The Business Standard,Titas warns of severe low gas pressure as LNG supply drops by 450 mmcfd,https://www.tbsnews.net/bangladesh/titas-warns-severe-gas-pressure-lng-supply-drops-450-mmcfd-1500496
28/07/26,The Business Standard,PM seeks Malaysia's support to ease Bangladesh's gas crisis: State minister,https://www.tbsnews.net/bangladesh/energy/pm-seeks-malaysias-support-ease-bangladeshs-gas-crisis-state-minister-1500186
28/07/26,Prothom Alo,Focus on renewable energy to lessen pressure on fossil fuel: Iqbal Hassan Mahmood,https://en.prothomalo.com/bangladesh/iyckh26stw
27/07/26,The Daily Star,Restructuring the energy sector for sustained progress,https://www.thedailystar.net/business/news/restructuring-the-energy-sector-sustained-progress-4233951
27/07/26,The Daily Star,Kurigram to face scheduled power cuts for seven days over grid upgrade,https://www.thedailystar.net/news/environment/natural-resources/energy/news/kurigram-face-scheduled-power-cuts-seven-days-over-grid-upgrade-4233791
27/07/26,The Daily Star,Rooppur's next challenge: Getting regulation right,https://www.thedailystar.net/news/environment/natural-resources/energy/news/rooppurs-next-challenge-getting-regulation-right-4233656
25/07/26,The Daily Star,No timeline for restoring gas supply from faulty FSRU: Petrobangla,https://www.thedailystar.net/news/environment/natural-resources/energy/news/no-timeline-restoring-gas-supply-faulty-fsru-petrobangla-4232116
25/07/26,The Daily Star,Is Rooppur ready to operate at full-capacity?,https://www.thedailystar.net/news/environment/natural-resources/energy/news/rooppur-ready-operate-full-capacity-4231931
25/07/26,Prothom Alo,Bangladesh faces heightened risks from energy dependence and remittance flows,https://en.prothomalo.com/bangladesh/q8j13fqn0a
24/07/26,The Daily Star,Rooppur nuclear plant set for ‘criticality’ stage ahead of power generation,https://www.thedailystar.net/news/environment/natural-resources/energy/news/rooppur-nuclear-plant-set-criticality-stage-ahead-power-generation-4231506
23/07/26,The Daily Star,Brent North Sea oil price hits $100 on Mideast attacks,https://www.thedailystar.net/news/environment/natural-resources/energy/news/brent-north-sea-oil-price-hits-100-mideast-attacks-4230836
23/07/26,The Daily Star,QatarEnergy set to prolong LNG supply halt,https://www.thedailystar.net/news/environment/natural-resources/energy/news/qatarenergy-set-prolong-lng-supply-halt-4230336
21/07/26,The Daily Star,CNG filling station owners threaten nationwide shutdown over 4-point demand,https://www.thedailystar.net/news/environment/natural-resources/energy/news/cng-filling-station-owners-threaten-nationwide-shutdown-over-4-point-demand-4229006
18/07/26,Prothom Alo,Bangladesh wants a power like China by its side: Mirza Fakhrul,https://en.prothomalo.com/bangladesh/politics/ch7aoqnc8n
14/07/26,The Daily Star,Brent crude price jumps 5% after fresh US strikes on Iran,https://www.thedailystar.net/news/environment/natural-resources/energy/news/brent-crude-price-jumps-5-after-fresh-us-strikes-iran-4223641
11/07/26,Prothom Alo,Bangladesh must reduce dependence on fossil fuels for a sustainable future,https://en.prothomalo.com/opinion/d99boikj3h
09/07/26,Prothom Alo,EU launches new project on regional energy connectivity in South Asia,https://en.prothomalo.com/bangladesh/id6xk82n4s
08/07/26,The Daily Star,Sovereign guarantees tie govt’s hands on private power deals: Energy minister,https://www.thedailystar.net/news/environment/natural-resources/energy/news/sovereign-guarantees-tie-govts-hands-private-power-deals-energy-minister-4219186
